SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021
162,17,000,31589,00000,00000,0,A,Greenville city,Illinois,6556,6534,6507
162,17,000,31667,00000,00000,0,A,Greenwood village,Illinois,321,321,321
162,17,000,31732,00000,00000,0,A,Gridley village,Illinois,1441,1439,1434
162,17,000,31771,00000,00000,0,A,Griggsville city,Illinois,1097,1089,1085
162,17,000,31992,00000,00000,0,A,Gulfport village,Illinois,40,40,39
162,17,000,32018,00000,00000,0,A,Gurnee village,Illinois,30746,30682,30521
162,17,000,32200,00000,00000,0,A,Hainesville village,Illinois,3552,3545,3528
162,17,000,32395,00000,00000,0,A,Hamburg village,Illinois,100,99,98
162,17,000,32408,00000,00000,0,A,Hamel village,Illinois,936,935,933
162,17,000,32434,00000,00000,0,A,Hamilton city,Illinois,2758,2747,2724
162,17,000,32499,00000,00000,0,A,Hammond village,Illinois,511,511,512
162,17,000,32525,00000,00000,0,A,Hampshire village,Illinois,7651,7637,7758
162,17,000,32564,00000,00000,0,A,Hampton village,Illinois,1773,1770,1755
162,17,000,32616,00000,00000,0,A,Hanaford village,Illinois,316,315,313
162,17,000,32668,00000,00000,0,A,Hanna City village,Illinois,1262,1258,1246
162,17,000,32707,00000,00000,0,A,Hanover village,Illinois,863,863,856
162,17,000,32746,00000,00000,0,A,Hanover Park village,Illinois,37444,37334,36774
162,17,000,32850,00000,00000,0,A,Hardin village,Illinois,774,770,763
162,17,000,32967,00000,00000,0,A,Harmon village,Illinois,110,110,110
162,17,000,33136,00000,00000,0,A,Harrisburg city,Illinois,8285,8239,8129
162,17,000,33227,00000,00000,0,A,Harristown village,Illinois,1301,1297,1280
162,17,000,33279,00000,00000,0,A,Hartford village,Illinois,1202,1199,1189
162,17,000,33318,00000,00000,0,A,Hartsburg village,Illinois,254,253,255
162,17,000,33331,00000,00000,0,A,Harvard city,Illinois,9479,9457,9459
162,17,000,33357,00000,00000,0,A,Harvel village,Illinois,175,174,174
162,17,000,33383,00000,00000,0,A,Harvey city,Illinois,20324,20255,19871
162,17,000,33435,00000,00000,0,A,Harwood Heights village,Illinois,9043,9011,8836
162,17,000,33513,00000,00000,0,A,Havana city,Illinois,2957,2942,2905
162,17,000,33630,00000,00000,0,A,Hawthorn Woods village,Illinois,9078,9101,9211
162,17,000,33695,00000,00000,0,A,Hazel Crest village,Illinois,13395,13352,13098
162,17,000,33851,00000,00000,0,A,Hebron village,Illinois,1375,1375,1386
162,17,000,33877,00000,00000,0,A,Hecker village,Illinois,427,425,422
162,17,000,34007,00000,00000,0,A,Henderson village,Illinois,262,261,259
162,17,000,34098,00000,00000,0,A,Hennepin village,Illinois,760,759,745
162,17,000,34137,00000,00000,0,A,Henning village,Illinois,210,209,207
162,17,000,34163,00000,00000,0,A,Henry city,Illinois,2320,2322,2315
162,17,000,34332,00000,00000,0,A,Herrick village,Illinois,359,357,357
162,17,000,34358,00000,00000,0,A,Herrin city,Illinois,12356,12333,12253
162,17,000,34384,00000,00000,0,A,Herscher village,Illinois,1491,1487,1478
162,17,000,34423,00000,00000,0,A,Hettick village,Illinois,147,147,145
162,17,000,34449,00000,00000,0,A,Heyworth village,Illinois,2763,2760,2761
162,17,000,34514,00000,00000,0,A,Hickory Hills city,Illinois,14491,14445,14182
162,17,000,34553,00000,00000,0,A,Hidalgo village,Illinois,111,111,110
162,17,000,34670,00000,00000,0,A,Highland city,Illinois,10025,10062,10044
162,17,000,34722,00000,00000,0,A,Highland Park city,Illinois,30217,30181,30177
162,17,000,34865,00000,00000,0,A,Highwood city,Illinois,5073,5088,5374
162,17,000,34982,00000,00000,0,A,Hillcrest village,Illinois,1225,1222,1216
162,17,000,35047,00000,00000,0,A,Hillsboro city,Illinois,5908,5888,5874
162,17,000,35073,00000,00000,0,A,Hillsdale village,Illinois,416,415,413
162,17,000,35086,00000,00000,0,A,Hillside village,Illinois,8329,8300,8142
162,17,000,35203,00000,00000,0,A,Hillview village,Illinois,92,92,91
162,17,000,35268,00000,00000,0,A,Hinckley village,Illinois,1995,1991,1991
162,17,000,35281,00000,00000,0,A,Hindsboro village,Illinois,278,278,277
162,17,000,35307,00000,00000,0,A,Hinsdale village,Illinois,17408,17388,17273
162,17,000,35385,00000,00000,0,A,Hodgkins village,Illinois,1494,1492,1472
162,17,000,35398,00000,00000,0,A,Hoffman village,Illinois,436,435,431
162,17,000,35411,00000,00000,0,A,Hoffman Estates village,Illinois,52460,52333,51350
162,17,000,35515,00000,00000,0,A,Holiday Hills village,Illinois,618,616,617
162,17,000,35671,00000,00000,0,A,Hollowayville village,Illinois,39,39,38
162,17,000,35814,00000,00000,0,A,Homer village,Illinois,1069,1064,1049
162,17,000,35835,00000,00000,0,A,Homer Glen village,Illinois,24549,24508,24516
162,17,000,35866,00000,00000,0,A,Hometown city,Illinois,4340,4325,4240
162,17,000,35879,00000,00000,0,A,Homewood village,Illinois,19437,19375,19001
162,17,000,36061,00000,00000,0,A,Hoopeston city,Illinois,4914,4891,4836
162,17,000,36074,00000,00000,0,A,Hooppole village,Illinois,180,180,179
162,17,000,36126,00000,00000,0,A,Hopedale village,Illinois,819,817,813
162,17,000,36150,00000,00000,0,A,Hopewell village,Illinois,419,417,416
162,17,000,36190,00000,00000,0,A,Hopkins Park village,Illinois,581,580,575
162,17,000,36347,00000,00000,0,A,Hoyleton village,Illinois,514,512,509
162,17,000,36438,00000,00000,0,A,Hudson village,Illinois,1739,1737,1735
162,17,000,36477,00000,00000,0,A,Huey village,Illinois,161,161,159
162,17,000,36516,00000,00000,0,A,Hull village,Illinois,388,385,384
162,17,000,36542,00000,00000,0,A,Humboldt village,Illinois,359,359,357
162,17,000,36568,00000,00000,0,A,Hume village,Illinois,327,325,319
162,17,000,36750,00000,00000,0,A,Huntley village,Illinois,27782,27795,28008
162,17,000,36815,00000,00000,0,A,Hurst city,Illinois,762,761,757
162,17,000,36841,00000,00000,0,A,Hutsonville village,Illinois,481,481,481
162,17,000,37127,00000,00000,0,A,Illiopolis village,Illinois,843,841,831
162,17,000,37179,00000,00000,0,A,Ina village,Illinois,1888,1888,1893
162,17,000,37218,00000,00000,0,A,Indian Creek village,Illinois,535,534,534
162,17,000,37257,00000,00000,0,A,Indian Head Park village,Illinois,4093,4082,4008
162,17,000,37348,00000,00000,0,A,Indianola village,Illinois,228,227,225
162,17,000,37439,00000,00000,0,A,Industry village,Illinois,391,389,383
162,17,000,37608,00000,00000,0,A,Inverness village,Illinois,7609,7586,7449
162,17,000,37621,00000,00000,0,A,Iola village,Illinois,101,101,100
162,17,000,37647,00000,00000,0,A,Ipava village,Illinois,436,433,427
162,17,000,37712,00000,00000,0,A,Iroquois village,Illinois,131,130,130
162,17,000,37738,00000,00000,0,A,Irving village,Illinois,374,372,370
162,17,000,37777,00000,00000,0,A,Irvington village,Illinois,585,582,578
162,17,000,37803,00000,00000,0,A,Irwin village,Illinois,67,66,66
162,17,000,37894,00000,00000,0,A,Island Lake village,Illinois,8062,8044,8027
162,17,000,37907,00000,00000,0,A,Itasca village,Illinois,9551,9526,9430
162,17,000,37933,00000,00000,0,A,Iuka village,Illinois,509,507,504
162,17,000,37998,00000,00000,0,A,Ivesdale village,Illinois,265,264,260
162,17,000,38115,00000,00000,0,A,Jacksonville city,Illinois,17957,17901,17816
162,17,000,38323,00000,00000,0,A,Jeffersonville village,Illinois,357,356,352
162,17,000,38349,00000,00000,0,A,Jeisyville village,Illinois,107,107,106
162,17,000,38375,00000,00000,0,A,Jerome village,Illinois,1694,1688,1670
162,17,000,38414,00000,00000,0,A,Jerseyville city,Illinois,8342,8307,8289
162,17,000,38427,00000,00000,0,A,Jewett village,Illinois,194,194,192
162,17,000,38479,00000,00000,0,A,Johnsburg village,Illinois,6372,6359,6377
162,17,000,38531,00000,00000,0,A,Johnsonville village,Illinois,72,72,71
162,17,000,38544,00000,00000,0,A,Johnston City city,Illinois,3391,3382,3349
162,17,000,38570,00000,00000,0,A,Joliet city,Illinois,150352,150199,150372
162,17,000,38635,00000,00000,0,A,Jonesboro city,Illinois,1740,1733,1703
162,17,000,38674,00000,00000,0,A,Joppa village,Illinois,349,347,342
162,17,000,38739,00000,00000,0,A,Joy village,Illinois,368,367,364
162,17,000,38778,00000,00000,0,A,Junction village,Illinois,57,57,56
162,17,000,38791,00000,00000,0,A,Junction City village,Illinois,530,529,528
162,17,000,38830,00000,00000,0,A,Justice village,Illinois,12583,12544,12326
162,17,000,38856,00000,00000,0,A,Kampsville village,Illinois,310,308,306
162,17,000,38869,00000,00000,0,A,Kane village,Illinois,294,292,291
162,17,000,38895,00000,00000,0,A,Kaneville village,Illinois,453,453,450
162,17,000,38921,00000,00000,0,A,Kangley village,Illinois,233,232,231
162,17,000,38934,00000,00000,0,A,Kankakee city,Illinois,24201,24127,23922
162,17,000,38986,00000,00000,0,A,Kansas village,Illinois,677,673,662
162,17,000,39038,00000,00000,0,A,Kappa village,Illinois,229,230,229
162,17,000,39077,00000,00000,0,A,Karnak village,Illinois,420,417,409
162,17,000,39129,00000,00000,0,A,Kaskaskia village,Illinois,17,17,17
162,17,000,39233,00000,00000,0,A,Keenes village,Illinois,48,48,47
162,17,000,39259,00000,00000,0,A,Keensburg village,Illinois,182,182,180
162,17,000,39298,00000,00000,0,A,Keithsburg city,Illinois,547,545,545
162,17,000,39324,00000,00000,0,A,Kell village,Illinois,175,174,173
162,17,000,39441,00000,00000,0,A,Kempton village,Illinois,175,175,175
162,17,000,39519,00000,00000,0,A,Kenilworth village,Illinois,2509,2499,2451
162,17,000,39532,00000,00000,0,A,Kenney village,Illinois,305,304,304
162,17,000,39727,00000,00000,0,A,Kewanee city,Illinois,12483,12435,12361
162,17,000,39753,00000,00000,0,A,Keyesport village,Illinois,419,418,419
162,17,000,39857,00000,00000,0,A,Kilbourne village,Illinois,268,267,264
162,17,000,39883,00000,00000,0,A,Kildeer village,Illinois,4096,4091,4165
162,17,000,39909,00000,00000,0,A,Kincaid village,Illinois,1403,1397,1388
162,17,000,39922,00000,00000,0,A,Kinderhook village,Illinois,186,185,186
162,17,000,40065,00000,00000,0,A,Kingston village,Illinois,1104,1101,1100
162,17,000,40091,00000,00000,0,A,Kingston Mines village,Illinois,270,269,267
162,17,000,40117,00000,00000,0,A,Kinmundy city,Illinois,736,734,731
162,17,000,40143,00000,00000,0,A,Kinsman village,Illinois,90,90,90
162,17,000,40156,00000,00000,0,A,Kirkland village,Illinois,1645,1641,1637
162,17,000,40182,00000,00000,0,A,Kirkwood village,Illinois,674,671,660
162,17,000,40416,00000,00000,0,A,Knoxville city,Illinois,2890,2877,2852
